cur_prc,trde_qty,trde_prica,dt,open_pric,high_pric,low_pric,upd_stkpc_tp,upd_rt,bic_inds_tp,sm_inds_tp,stk_infr,upd_stkpc_event,pred_close_pric
61500,32694163,2043450,20240930,64200,64300,61500,,,,,,,
61300,28473536,1737678,20241002,60500,61900,59900,,,,,,,
60600,24247578,1480865,20241004,61000,61700,60500,,,,,,,
61000,35066533,2118597,20241007,60200,61900,59500,,,,,,,
60300,27411786,1652789,20241008,60000,61000,59900,,,,,,,
58900,45262214,2687253,20241010,60100,60200,58900,,,,,,,
59300,29623969,1765729,20241011,59100,60100,59000,,,,,,,
60800,20886249,1262857,20241014,59500,61200,59400,,,,,,,
61000,22715239,1381789,20241015,61100,61400,60100,,,,,,,
59500,23303268,1389152,20241016,59400,60000,59200,,,,,,,
59700,23372873,1391873,20241017,59400,60100,59100,,,,,,,
59200,14420260,857377,20241018,59900,60100,59100,,,,,,,
59000,18514905,1092562,20241021,59000,59600,58500,,,,,,,
57700,27582527,1604867,20241022,58800,58900,57700,,,,,,,
59100,27300780,1598545,20241023,57500,60000,57100,,,,,,,
56600,31499922,1809878,20241024,58200,58500,56600,,,,,,,
55900,25829315,1448168,20241025,56000,56900,55800,,,,,,,
58100,27775009,1597163,20241028,55700,58500,55700,,,,,,,
59600,28369314,1668410,20241029,58000,59600,57300,,,,,,,
59100,19838511,1173730,20241030,59100,59800,58600,,,,,,,
59200,35809196,2141846,20241031,58500,61200,58300,,,,,,,
58300,19083180,1121094,20241101,59000,59600,58100,,,,,,,
58700,15586947,916941,20241104,58600,59400,58400,,,,,,,
57600,17484474,1007627,20241105,57800,58100,57200,,,,,,,
57300,22092218,1262148,20241106,57600,58000,56300,,,,,,,
57500,17043102,982115,20241107,56900,58100,56800,,,,,,,
57000,13877396,799664,20241108,58000,58300,57000,,,,,,,
55000,29811326,1654821,20241111,56700,56800,55000,,,,,,,
53000,37962881,2037791,20241112,54600,54600,53000,,,,,,,
50600,52527995,2704093,20241113,52000,53000,50500,,,,,,,
49900,48510715,2465304,20241114,50200,51800,49900,,,,,,,
53500,46774485,2464749,20241115,50300,54200,50300,,,,,,,
56700,48095234,2726095,20241118,57000,57500,55900,,,,,,,
56300,31539632,1786885,20241119,56500,57500,55900,,,,,,,
55300,20864667,1156033,20241120,56100,56500,54800,,,,,,,
56400,19096850,1068199,20241121,54900,56900,54700,,,,,,,
56000,15281543,860561,20241122,56000,56700,55900,,,,,,,
57900,36237325,2086463,20241125,57400,57900,56700,,,,,,,
58300,23209405,1350434,20241126,57900,58900,57500,,,,,,,
56300,21808387,1236109,20241127,57700,57800,56000,,,,,,,
55500,20001134,1114565,20241128,56000,56400,55200,,,,,,,
54200,24513531,1331024,20241129,55100,55300,53800,,,,,,,
53600,22044867,1184225,20241202,54300,54400,53100,,,,,,,
53600,23374603,1257635,20241203,53100,54400,53100,,,,,,,
53100,29004766,1533224,20241204,52000,53400,52000,,,,,,,
53700,23588277,1270914,20241205,53200,54400,53200,,,,,,,
54100,22861874,1232013,20241206,53900,54400,52700,,,,,,,
53400,26227680,1409456,20241209,53500,54600,53200,,,,,,,
54000,20783970,1122596,20241210,54500,54500,53700,,,,,,,
54000,14565947,784683,20241211,53600,54200,53400,,,,,,,
55900,33476698,1853172,20241212,54000,56500,53900,,,,,,,
56100,15908823,890640,20241213,55800,56300,55500,,,,,,,
55600,15277277,853551,20241216,56300,56600,55200,,,,,,,
54200,20215230,1099985,20241217,54700,55200,54000,,,,,,,
54900,13698937,752377,20241218,54100,55400,54000,,,,,,,
53100,22481925,1200142,20241219,53500,53800,53100,,,,,,,
53000,24674774,1292090,20241220,52700,53100,51900,,,,,,,
53500,13672650,733841,20241223,53400,54000,53300,,,,,,,
54400,11634677,629473,20241224,53700,54500,53600,,,,,,,
53600,10517075,567623,20241226,54500,54600,53500,,,,,,,
53700,10747196,576023,20241227,53500,54100,53200,4,0.00,,,,,
53200,12624702,675490,20241230,53300,54000,53100,,,,,,,
53400,16630538,878413,20250102,52700,53600,52300,,,,,,,
54400,19318046,1047542,20250103,52800,55100,52800,,,,,,,
55900,19034284,1058889,20250106,54400,56200,54300,,,,,,,
55400,17030235,957162,20250107,56800,57300,55400,,,,,,,
57300,26593553,1508091,20250108,54800,57500,54700,,,,,,,
56100,24490592,1390326,20250109,57600,57700,56100,,,,,,,
55300,16059223,893462,20250110,56100,56500,55200,,,,,,,
54100,16868600,917178,20250113,54600,55000,54100,,,,,,,
53900,17465926,944534,20250114,54200,54600,53700,,,,,,,
53700,18625025,1005085,20250115,54100,54700,53500,,,,,,,
54300,18627298,1014923,20250116,54200,55000,54100,,,,,,,
53700,18805344,1007047,20250117,53800,54100,53200,,,,,,,
53400,11822531,633049,20250120,53600,53900,53300,,,,,,,
53500,13535702,726599,20250121,53700,54300,53300,,,,,,,
54300,18341991,984308,20250122,53400,54400,53100,,,,,,,
53700,15588067,837442,20250123,53700,54100,53500,,,,,,,
53700,11867631,635529,20250124,53600,53800,53200,,,,,,,
52400,42186279,2207004,20250131,52200,53000,51700,,,,,,,
51000,32344897,1649572,20250203,51100,51400,50800,,,,,,,
52700,27214851,1437276,20250204,51600,53600,51500,,,,,,,
52900,15974885,849380,20250205,53600,53800,52800,,,,,,,
54000,16466025,881509,20250206,53400,54000,53200,,,,,,,
53700,14476866,779741,20250207,53900,54200,53600,,,,,,,
