date,Open,High,Low,Close,Adj Close,Volume,symbol
2023-11-03,69700,70200,69500,69600,69600,10322234,005930
2023-11-06,69800,70900,69300,70900,70900,22228489,005930
2023-11-07,70600,70900,70000,70900,70900,17228731,005930
2023-11-08,71300,71400,69700,69900,69900,12901310,005930
2023-11-09,69900,70800,69600,70300,70300,12301373,005930
2023-11-10,70000,70500,69500,70500,70500,9684347,005930
2023-11-13,71300,71300,70300,70400,70400,9246919,005930
2023-11-14,71000,71100,70600,70800,70800,9567984,005930
2023-11-15,71600,72200,71500,72200,72200,20148677,005930
2023-11-16,72500,73000,72300,72800,72800,15860451,005930
2023-11-17,72300,73000,72300,72500,72500,11494644,005930
2023-11-20,72100,73000,72100,72700,72700,10610157,005930
2023-11-21,73100,73400,72700,72800,72800,9712881,005930
2023-11-22,72200,73000,71900,72800,72800,11105143,005930
2023-11-23,73000,73200,72200,72400,72400,6775614,005930
2023-11-24,72400,72600,71700,71700,71700,6676685,005930
2023-11-27,71500,72100,71100,71300,71300,9113857,005930
2023-11-28,71400,72700,71300,72700,72700,13283081,005930
2023-11-29,72400,72800,72200,72700,72700,9283933,005930
2023-11-30,72700,72800,72200,72800,72800,15783714,005930
2023-12-01,72400,72500,71700,72000,72000,9871284,005930
2023-12-04,72800,72900,72400,72600,72600,10229267,005930
2023-12-05,72300,72400,71200,71200,71200,12129682,005930
2023-12-06,71800,72100,71600,71700,71700,8123087,005930
2023-12-07,71800,71900,71100,71500,71500,8862017,005930
2023-12-08,72100,72800,71900,72600,72600,10859463,005930
2023-12-11,72800,73000,72200,73000,73000,9861960,005930
2023-12-12,73300,73500,73100,73500,73500,13758646,005930
2023-12-13,73300,73500,72800,72800,72800,13116766,005930
2023-12-14,74100,74300,72500,73100,73100,27567593,005930
2023-12-15,73800,74000,73200,73300,73300,15419815,005930
2023-12-18,73300,73400,72800,72900,72900,9690551,005930
2023-12-19,73000,73400,72800,73400,73400,8907632,005930
2023-12-20,74200,74900,73800,74800,74800,16870156,005930
2023-12-21,74600,75000,74300,75000,75000,13478766,005930
2023-12-22,75800,76300,75400,75900,75900,14515608,005930
2023-12-26,76100,76700,75700,76600,76600,13164909,005930
2023-12-27,76700,78000,76500,78000,78000,20651042,005930
2023-12-28,77700,78500,77500,78500,78500,17797536,005930
2024-01-02,78200,79800,78200,79600,79600,17142847,005930
2024-01-03,78500,78800,77000,77000,77000,21753644,005930
2024-01-04,76100,77300,76100,76600,76600,15324439,005930
2024-01-05,76700,77100,76400,76600,76600,11304316,005930
2024-01-08,77000,77500,76400,76500,76500,11088724,005930
2024-01-09,77400,77700,74300,74700,74700,26019249,005930
2024-01-10,75000,75200,73200,73600,73600,20259529,005930
2024-01-11,72900,73600,72700,73200,73200,57691266,005930
2024-01-12,73000,74100,72800,73100,73100,13038939,005930
2024-01-15,73200,74000,73200,73900,73900,13212339,005930
2024-01-16,73500,73700,72500,72600,72600,14760415,005930
2024-01-17,73100,73300,71000,71000,71000,22683660,005930
2024-01-18,71600,72000,70700,71700,71700,17853397,005930
2024-01-19,73500,74700,73000,74700,74700,23363427,005930
2024-01-22,75900,76000,75000,75100,75100,19673375,005930
2024-01-23,75700,75800,74300,75200,75200,14786224,005930
2024-01-24,75200,75200,73500,74000,74000,12860661,005930
2024-01-25,74200,74800,73700,74100,74100,11737747,005930
2024-01-26,73700,74500,73300,73400,73400,11160062,005930
2024-01-29,73800,75200,73500,74400,74400,13976521,005930
2024-01-30,75000,75300,73700,74300,74300,12244418,005930
2024-01-31,73400,74000,72500,72700,72700,15703560,005930
