cur_prc,trde_qty,trde_prica,dt,open_pric,high_pric,low_pric,upd_stkpc_tp,upd_rt,bic_inds_tp,sm_inds_tp,stk_infr,upd_stkpc_event,pred_close_pric
60400,16145837,972249,20201012,60000,60400,59900,,,,,,,
60900,19247631,1171363,20201013,61000,61400,60400,,,,,,,
60900,16086716,978464,20201014,61000,61100,60500,,,,,,,
60000,17756232,1066157,20201015,60700,60800,59700,,,,,,,
59500,16554190,987631,20201016,60000,60400,59000,,,,,,,
60000,14474985,867446,20201019,59600,60200,59500,,,,,,,
60900,19326115,1172317,20201020,60300,60900,60100,,,,,,,
60900,15703443,959155,20201021,61200,61500,60600,,,,,,,
60100,14294095,858048,20201022,60300,60500,59800,,,,,,,
60200,9322232,560420,20201023,60400,60400,59800,,,,,,,
60400,13268226,803140,20201026,60400,61100,60100,,,,,,,
59800,17260416,1032623,20201027,60300,60300,59500,,,,,,,
59000,14428882,851619,20201028,59400,59400,58800,,,,,,,
58100,22636966,1313484,20201029,58200,58500,57500,,,,,,,
56600,26907844,1541223,20201030,58000,58000,56600,,,,,,,
57400,20489076,1165273,20201102,56400,57500,56000,,,,,,,
58800,14950919,873636,20201103,57900,58900,57600,,,,,,,
58500,21718561,1269055,20201104,58900,59000,57800,,,,,,,
60300,20639475,1232654,20201105,59000,60300,58800,,,,,,,
60100,16910230,1015446,20201106,60700,60800,59600,,,,,,,
60200,15892961,962262,20201109,60700,60900,60100,,,,,,,
60200,19073552,1144231,20201110,60500,60500,59500,,,,,,,
61300,25628510,1562196,20201111,60700,61400,60400,,,,,,,
61000,19800573,1208397,20201112,61000,61400,60700,,,,,,,
63200,31508829,1962140,20201113,61300,63200,61000,,,,,,,
66300,36354334,2384456,20201116,64000,66700,63900,,,,,,,
65700,30204089,1999330,20201117,67000,67000,65600,,,,,,,
64800,22963790,1495191,20201118,65700,66200,64700,,,,,,,
64600,16590290,1066785,20201119,64100,64800,63900,,,,,,,
64700,15068682,973133,20201120,63900,65200,63900,,,,,,,
67500,27134398,1811363,20201123,64800,67800,64700,,,,,,,
67700,32158235,2194517,20201124,67900,69500,67000,,,,,,,
66600,32447065,2185553,20201125,67900,68300,66500,,,,,,,
68000,19023323,1279790,20201126,66100,68000,66000,,,,,,,
68200,14063434,957451,20201127,68000,68400,67600,,,,,,,
66700,43811016,2946476,20201130,68400,68600,66700,,,,,,,
67800,22327173,1513603,20201201,67100,68300,67100,,,,,,,
69500,29703942,2060701,20201202,68400,69900,68300,,,,,,,
69700,23677989,1654493,20201203,70100,70500,69300,,,,,,,
71500,28130533,2010489,20201204,70400,72100,70100,,,,,,,
72900,28490496,2071957,20201207,72400,73500,71900,,,,,,,
71700,25000338,1804281,20201208,72200,72900,71600,,,,,,,
73900,24077996,1758753,20201209,72100,73900,72000,,,,,,,
72900,39882928,2916537,20201210,72700,73800,72500,,,,,,,
73400,18486672,1356959,20201211,73500,73800,73100,,,,,,,
73800,21510415,1590300,20201214,73600,74500,73200,,,,,,,
73800,20863671,1538015,20201215,73800,74100,73300,,,,,,,
73800,17512081,1291859,20201216,74100,74500,73400,,,,,,,
73300,24293214,1777213,20201217,73400,73700,72600,,,,,,,
73000,17613029,1289759,20201218,73300,73700,73000,,,,,,,
73000,20367355,1477331,20201221,73100,73400,72000,,,,,,,
72300,16304910,1183243,20201222,72500,73200,72100,,,,,,,
73900,19411326,1419205,20201223,72400,74000,72300,,,,,,,
77800,32502870,2486987,20201224,74100,78800,74000,,,,,,,
