date,Open,High,Low,Close,Adj Close,Volume,symbol
2023-08-22,120000,120900,114900,116500,116500,3349473,000660
2023-08-23,116200,116800,114100,116000,116000,2573292,000660
2023-08-24,122300,123600,120300,120900,120900,6368401,000660
2023-08-25,117400,118300,115300,116500,116500,3533647,000660
2023-08-28,117000,117500,115500,115900,115900,1746882,000660
2023-08-29,118300,120300,117100,118600,118600,2682352,000660
2023-08-30,122400,122800,119400,119400,119400,2629711,000660
2023-08-31,121000,122800,120000,121800,121800,4403695,000660
2023-09-01,121400,122600,119600,120000,120000,2886011,000660
2023-09-04,118300,119700,116200,119200,119200,3491280,000660
2023-09-05,118100,121000,117700,119400,119400,1749591,000660
2023-09-06,118600,120000,117800,118200,118200,1615519,000660
2023-09-07,118200,120900,117100,118500,118500,2995088,000660
2023-09-08,117000,117100,112800,113700,113700,4943255,000660
2023-09-11,113700,116000,112900,115900,115900,2542590,000660
2023-09-12,115400,117500,113900,116700,116700,2749688,000660
2023-09-13,117900,120700,116900,118500,118500,3860589,000660
2023-09-14,118600,122200,118600,122200,122200,3948784,000660
2023-09-15,122900,124400,121600,122400,122400,3579662,000660
2023-09-18,120300,122900,118800,119000,119000,2356621,000660
2023-09-19,119400,121300,118600,119200,119200,1921912,000660
2023-09-20,118900,119700,116700,118000,118000,2228681,000660
2023-09-21,116000,116900,114100,116500,116500,3151900,000660
2023-09-22,114300,117300,114200,117300,117300,2938386,000660
2023-09-25,115900,117700,115700,117000,117000,2181722,000660
2023-09-26,117000,117200,113300,115000,115000,3237819,000660
2023-09-27,113000,115200,112300,114700,114700,3060751,000660
2023-10-04,113000,116600,113000,115400,115400,4447702,000660
2023-10-05,122900,122900,118100,120200,120200,6112858,000660
2023-10-06,120200,121600,119000,120400,120400,4158083,000660
2023-10-10,122800,124300,119500,119500,119500,5580659,000660
2023-10-11,123000,123900,119200,119200,119200,4293299,000660
2023-10-12,121100,124200,120500,124200,124200,4016352,000660
2023-10-13,123100,126300,122500,124700,124700,3205273,000660
