date,Open,High,Low,Close,Adj Close,Volume,symbol
2020-10-12,60000,60400,59900,60400,60400,16145837,005930
2020-10-13,61000,61400,60400,60900,60900,19247631,005930
2020-10-14,61000,61100,60500,60900,60900,16086716,005930
2020-10-15,60700,60800,59700,60000,60000,17756232,005930
2020-10-16,60000,60400,59000,59500,59500,16554190,005930
2020-10-19,59600,60200,59500,60000,60000,14474985,005930
2020-10-20,60300,60900,60100,60900,60900,19326115,005930
2020-10-21,61200,61500,60600,60900,60900,15703443,005930
2020-10-22,60300,60500,59800,60100,60100,14294095,005930
2020-10-23,60400,60400,59800,60200,60200,9322232,005930
2020-10-26,60400,61100,60100,60400,60400,13268226,005930
2020-10-27,60300,60300,59500,59800,59800,17260416,005930
2020-10-28,59400,59400,58800,59000,59000,14428882,005930
2020-10-29,58200,58500,57500,58100,58100,22636966,005930
2020-10-30,58000,58000,56600,56600,56600,26907844,005930
2020-11-02,56400,57500,56000,57400,57400,20489076,005930
2020-11-03,57900,58900,57600,58800,58800,14950919,005930
2020-11-04,58900,59000,57800,58500,58500,21718561,005930
2020-11-05,59000,60300,58800,60300,60300,20639475,005930
2020-11-06,60700,60800,59600,60100,60100,16910230,005930
2020-11-09,60700,60900,60100,60200,60200,15892961,005930
2020-11-10,60500,60500,59500,60200,60200,19073552,005930
2020-11-11,60700,61400,60400,61300,61300,25628510,005930
2020-11-12,61000,61400,60700,61000,61000,19800573,005930
2020-11-13,61300,63200,61000,63200,63200,31508829,005930
2020-11-16,64000,66700,63900,66300,66300,36354334,005930
2020-11-17,67000,67000,65600,65700,65700,30204089,005930
2020-11-18,65700,66200,64700,64800,64800,22963790,005930
2020-11-19,64100,64800,63900,64600,64600,16590290,005930
2020-11-20,63900,65200,63900,64700,64700,15068682,005930
2020-11-23,64800,67800,64700,67500,67500,27134398,005930
2020-11-24,67900,69500,67000,67700,67700,32158235,005930
2020-11-25,67900,68300,66500,66600,66600,32447065,005930
2020-11-26,66100,68000,66000,68000,68000,19023323,005930
2020-11-27,68000,68400,67600,68200,68200,14063434,005930
2020-11-30,68400,68600,66700,66700,66700,43811016,005930
2020-12-01,67100,68300,67100,67800,67800,22327173,005930
2020-12-02,68400,69900,68300,69500,69500,29703942,005930
2020-12-03,70100,70500,69300,69700,69700,23677989,005930
2020-12-04,70400,72100,70100,71500,71500,28130533,005930
2020-12-07,72400,73500,71900,72900,72900,28490496,005930
2020-12-08,72200,72900,71600,71700,71700,25000338,005930
2020-12-09,72100,73900,72000,73900,73900,24077996,005930
2020-12-10,72700,73800,72500,72900,72900,39882928,005930
