cur_prc,trde_qty,trde_prica,dt,open_pric,high_pric,low_pric,upd_stkpc_tp,upd_rt,bic_inds_tp,sm_inds_tp,stk_infr,upd_stkpc_event,pred_close_pric
116500,3349473,394056,20230822,120000,120900,114900,,,,,,,
116000,2573292,296655,20230823,116200,116800,114100,,,,,,,
120900,6368401,777700,20230824,122300,123600,120300,,,,,,,
116500,3533647,412064,20230825,117400,118300,115300,,,,,,,
115900,1746882,203167,20230828,117000,117500,115500,,,,,,,
118600,2682352,318899,20230829,118300,120300,117100,,,,,,,
119400,2629711,318484,20230830,122400,122800,119400,,,,,,,
121800,4403695,536629,20230831,121000,122800,120000,,,,,,,
120000,2886011,349555,20230901,121400,122600,119600,,,,,,,
119200,3491280,410803,20230904,118300,119700,116200,,,,,,,
119400,1749591,209187,20230905,118100,121000,117700,,,,,,,
118200,1615519,191335,20230906,118600,120000,117800,,,,,,,
118500,2995088,354989,20230907,118200,120900,117100,,,,,,,
113700,4943255,564691,20230908,117000,117100,112800,,,,,,,
115900,2542590,291666,20230911,113700,116000,112900,,,,,,,
116700,2749688,318541,20230912,115400,117500,113900,,,,,,,
118500,3860589,459528,20230913,117900,120700,116900,,,,,,,
122200,3948784,477795,20230914,118600,122200,118600,,,,,,,
122400,3579662,440234,20230915,122900,124400,121600,,,,,,,
119000,2356621,282706,20230918,120300,122900,118800,,,,,,,
119200,1921912,230048,20230919,119400,121300,118600,,,,,,,
118000,2228681,262797,20230920,118900,119700,116700,,,,,,,
116500,3151900,364612,20230921,116000,116900,114100,,,,,,,
117300,2938386,341102,20230922,114300,117300,114200,,,,,,,
117000,2181722,254825,20230925,115900,117700,115700,,,,,,,
115000,3237819,371321,20230926,117000,117200,113300,4,0.00,,,,,
114700,3060751,348466,20230927,113000,115200,112300,,,,,,,
115400,4447702,510143,20231004,113000,116600,113000,,,,,,,
120200,6112858,735305,20231005,122900,122900,118100,,,,,,,
120400,4158083,499481,20231006,120200,121600,119000,,,,,,,
119500,5580659,680706,20231010,122800,124300,119500,,,,,,,
119200,4293299,522118,20231011,123000,123900,119200,,,,,,,
124200,4016352,493611,20231012,121100,124200,120500,,,,,,,
124700,3205273,399745,20231013,123100,126300,122500,,,,,,,
124100,3008476,372140,20231016,124700,125200,122400,,,,,,,
130000,6411880,822684,20231017,125000,130800,123500,,,,,,,
130000,4760148,616162,20231018,128600,130700,127200,,,,,,,
125700,5089745,643718,20231019,127600,128900,125100,,,,,,,
126200,3868266,483129,20231020,124300,127200,122800,,,,,,,
124000,2432303,303454,20231023,126800,127200,123500,,,,,,,
126800,2802010,351862,20231024,125400,127000,123900,,,,,,,
127500,3053002,389852,20231025,127500,129000,126100,,,,,,,
120000,5961584,725185,20231026,122100,124800,119500,,,,,,,
119100,5486088,652150,20231027,119800,120900,117500,,,,,,,
119100,2798497,336056,20231030,119100,121700,118700,,,,,,,
116300,3166739,372829,20231031,119800,120900,116300,,,,,,,
120300,2707225,322935,20231101,117900,120300,117000,,,,,,,
125300,3736208,465048,20231102,123900,125400,123100,,,,,,,
125800,2796773,352479,20231103,126500,127200,125000,,,,,,,
133000,6923192,905341,20231106,125800,133000,125800,,,,,,,
130400,4940510,647966,20231107,132000,133500,129300,,,,,,,
127600,3328279,429987,20231108,131600,132700,126600,,,,,,,
128000,2228081,285946,20231109,127700,129800,126700,,,,,,,
130500,2656526,344793,20231110,127900,130800,127000,,,,,,,
131800,2644761,350144,20231113,133000,134100,131000,,,,,,,
130000,2589591,339259,20231114,133500,133500,130000,,,,,,,
134100,3616292,483201,20231115,133900,134200,132100,,,,,,,
132300,2456351,324968,20231116,133000,134400,131200,,,,,,,
129900,2438499,317746,20231117,131500,132000,129100,,,,,,,
131400,2004403,263071,20231120,129300,132000,129300,,,,,,,
132000,2439306,323128,20231121,132000,133300,131600,,,,,,,
131300,2128566,277705,20231122,129600,131600,129500,,,,,,,
130100,1839516,239372,20231123,130600,131400,129500,,,,,,,
128000,1925668,248264,20231124,130600,131000,128000,,,,,,,
130700,2264243,294265,20231127,129200,130700,128400,,,,,,,
131400,2562226,335436,20231128,132100,132100,129900,,,,,,,
130400,2227853,289214,20231129,130200,131000,128900,,,,,,,
133900,3625365,479403,20231130,129900,133900,129900,,,,,,,
132600,3641222,480441,20231201,132200,133000,130800,,,,,,,
131100,2680820,355856,20231204,133400,134600,131100,,,,,,,
125900,4375531,555494,20231205,129700,130000,125400,,,,,,,
125600,2667583,336769,20231206,126800,127500,125400,,,,,,,
125600,2478565,313056,20231207,125600,127800,124500,,,,,,,
127500,2762531,354951,20231208,128100,129100,127500,,,,,,,
128900,3696790,475007,20231211,128700,129100,127300,,,,,,,
131000,3126577,410229,20231212,130600,131900,130500,,,,,,,
131200,2852873,375667,20231213,130000,132400,130000,,,,,,,
136700,8217135,1118923,20231214,133700,138300,133600,,,,,,,
140000,5011719,698130,20231215,137000,140000,137000,,,,,,,
140000,2540812,355275,20231218,139000,140800,138900,,,,,,,
138200,2309721,320763,20231219,140000,140800,138100,,,,,,,
140500,3108011,435407,20231220,139900,140800,139300,,,,,,,
140500,2737124,380650,20231221,139200,140600,138100,,,,,,,
140600,3183709,450429,20231222,142700,143700,140600,,,,,,,
140900,2239789,315084,20231226,142000,142000,139400,,,,,,,
140400,2336777,327122,20231227,140800,141600,139200,4,0.00,,,,,
141500,2459473,346317,20231228,140900,141600,139500,,,,,,,
142400,2147458,304026,20240102,139700,142800,139700,,,,,,,
136800,3257820,449800,20240103,140000,140800,136800,,,,,,,
136400,2661970,364516,20240104,136800,138800,135800,,,,,,,
137500,1846781,252186,20240105,135800,137500,135800,,,,,,,
136000,2498302,340752,20240108,137500,137900,135400,,,,,,,
137400,3473806,480450,20240109,139000,139500,136600,,,,,,,
133500,3769252,504545,20240110,137700,138100,132100,,,,,,,
136000,3594909,485469,20240111,132400,137100,132400,,,,,,,
134100,1878915,252938,20240112,136400,137300,133400,,,,,,,
134100,1858867,249237,20240115,134800,135100,133300,,,,,,,
132100,3670169,485782,20240116,132600,133700,131100,,,,,,,
131000,3822702,502258,20240117,133800,134500,129000,,,,,,,
136200,3050556,408810,20240118,131500,136800,130600,,,,,,,
141300,4946040,692333,20240119,138700,141300,137400,,,,,,,
142600,3784276,543785,20240122,145200,145400,142300,,,,,,,
140800,2912611,407778,20240123,142300,142800,138300,,,,,,,
141500,2580665,359517,20240124,140000,141700,137600,,,,,,,
137400,4708651,655675,20240125,142700,143700,136900,,,,,,,
136000,3247410,445105,20240126,136200,138600,136000,,,,,,,
135000,2311854,313633,20240129,135500,137000,135000,,,,,,,
136900,2297631,312515,20240130,135300,137800,134400,,,,,,,
134700,2815362,379898,20240131,134800,136600,133600,,,,,,,
132700,3778274,503287,20240201,133100,135600,131700,,,,,,,
134900,3708253,497094,20240202,132300,135300,132200,,,,,,,
132300,3300954,440631,20240205,134900,135800,131700,,,,,,,
138000,4672324,633972,20240206,133700,138400,132000,,,,,,,
138000,3348045,460438,20240207,136600,138500,135500,,,,,,,
142800,5780714,816463,20240208,139000,143000,137900,,,,,,,
150000,6902585,1024935,20240213,146800,150000,145000,,,,,,,
148700,4396924,647227,20240214,146300,149200,144900,,,,,,,
148700,3560211,533512,20240215,151300,152700,148000,,,,,,,
146800,3265836,481599,20240216,150600,150600,145700,,,,,,,
151300,3997323,603119,20240219,146200,153200,146000,,,,,,,
149600,3507601,523750,20240220,150300,151100,147500,,,,,,,
149000,4278500,639565,20240221,147100,152200,147100,,,,,,,
156500,5966352,924601,20240222,154500,156500,152600,,,,,,,
161400,7012032,1142699,20240223,166900,166900,159800,,,,,,,
161800,4329477,701539,20240226,158400,164800,158400,,,,,,,
153800,6107954,951985,20240227,159000,160000,153300,,,,,,,
158000,3666960,576353,20240228,154500,159200,153800,,,,,,,
156200,3386307,530044,20240229,154900,158400,154500,,,,,,,
166500,5230909,858857,20240304,161000,168100,160700,,,,,,,
165800,3612530,600617,20240305,165100,169000,164100,,,,,,,
162900,2672526,437196,20240306,164100,165500,162700,,,,,,,
164900,3052700,499310,20240307,164500,165900,161000,,,,,,,
171900,5089650,877329,20240308,169800,174900,169300,,,,,,,
166600,3450905,575360,20240311,165000,168900,164700,,,,,,,
165700,3102706,513176,20240312,166100,167200,164000,,,,,,,
163600,5072935,835589,20240313,168600,169700,162000,,,,,,,
161900,3655060,592440,20240314,163600,164200,161100,,,,,,,
161200,4099531,658494,20240315,159600,162900,158600,,,,,,,
164300,2696598,438799,20240318,161200,164500,161000,,,,,,,
160200,4159293,662957,20240319,161700,161800,157600,,,,,,,
156500,5692523,893196,20240320,160200,161400,154100,,,,,,,
170000,9205769,1539414,20240321,165200,171400,162600,,,,,,,
169800,5400916,921768,20240322,169000,173900,167400,,,,,,,
169400,3434516,585771,20240325,170500,174800,168500,,,,,,,
176600,6549669,1156364,20240326,172000,179500,171900,,,,,,,
181200,5774536,1044761,20240327,176700,183000,175600,,,,,,,
178200,3424716,616314,20240328,178000,182100,178000,4,0.00,,,,,
183000,3035080,550259,20240329,179200,183900,177600,,,,,,,
185500,2723474,508350,20240401,186400,190500,185000,,,,,,,
186300,4207759,786802,20240402,188000,190000,184400,,,,,,,
179200,5416518,977145,20240403,182000,183700,178200,,,,,,,
188000,5344102,997149,20240404,184400,188500,184000,,,,,,,
182800,4043133,743445,20240405,184800,187600,181800,,,,,,,
181200,3278855,595819,20240408,183900,183900,180000,,,,,,,
182900,2302751,422387,20240409,182300,185300,181700,,,,,,,
188400,4098231,761725,20240411,182900,188400,182400,,,,,,,
187400,3097301,585527,20240412,188700,191400,187000,,,,,,,
188200,2672047,496547,20240415,185400,188400,183000,,,,,,,
179100,4956035,894705,20240416,184400,185500,178300,,,,,,,
178700,4340591,782581,20240417,179600,182500,177700,,,,,,,
182300,4170243,749109,20240418,176000,183300,175400,,,,,,,
173300,7545976,1309026,20240419,177200,178500,169500,,,,,,,
171600,5882906,995024,20240422,170700,172400,167000,,,,,,,
171000,3975371,683377,20240423,172600,173700,169700,,,,,,,
179800,4254632,761849,20240424,178900,180200,176300,,,,,,,
170600,5332149,923565,20240425,173800,176700,170600,,,,,,,
177800,5471765,967257,20240426,176200,178300,174900,,,,,,,
175900,2892809,513572,20240429,179100,180400,175600,,,,,,,
174200,3655060,640736,20240430,175900,179000,173800,,,,,,,
173600,3168250,546283,20240502,169000,174700,169000,,,,,,,
173200,2336256,408841,20240503,177000,177500,173200,,,,,,,
179600,4349589,783411,20240507,179400,180900,179300,,,,,,,
178000,2304744,409386,20240508,177600,179400,176000,,,,,,,
175400,2861600,505839,20240509,179000,179400,175400,,,,,,,
179900,2813668,503862,20240510,176500,180100,176400,,,,,,,
183800,3230023,589194,20240513,180000,184000,179000,,,,,,,
185300,2763069,508579,20240514,184200,185800,181800,,,,,,,
193000,5083178,980294,20240516,191100,194000,191100,,,,,,,
189900,2841394,544089,20240517,192000,193500,189900,,,,,,,
190100,3592128,684608,20240520,192300,193200,188600,,,,,,,
192000,2468109,474583,20240521,193400,193500,191200,,,,,,,
197700,3949439,772254,20240522,191900,197700,190900,,,,,,,
200000,4681849,942515,20240523,203500,204000,198200,,,,,,,
198600,3793872,757807,20240524,199800,202500,197500,,,,,,,
201500,4774882,978796,20240527,203500,209000,199100,,,,,,,
202500,2084945,421759,20240528,202500,205500,200500,,,,,,,
202500,3073139,625799,20240529,210000,210000,200500,,,,,,,
195700,2402236,475958,20240530,202500,202500,195700,,,,,,,
189200,5958829,1131955,20240531,194400,195200,188200,,,,,,,
194200,2982443,571761,20240603,189500,194600,188200,,,,,,,
193300,1996780,387926,20240604,196400,196500,192900,,,,,,,
193700,2709631,519753,20240605,189400,195200,188800,,,,,,,
207500,4805326,976786,20240607,199500,207500,197300,,,,,,,
208000,2448961,508789,20240610,206000,209500,205000,,,,,,,
212500,3070163,647747,20240611,210000,215000,206000,,,,,,,
215000,2151331,459700,20240612,212000,216000,211000,,,,,,,
222000,5777279,1292420,20240613,226000,226500,219000,,,,,,,
221000,3311223,730645,20240614,225000,225000,216000,,,,,,,
223000,2198340,493039,20240617,219000,229500,219000,,,,,,,
234500,3136231,725328,20240618,227000,234500,227000,,,,,,,
233500,3758652,889433,20240619,235000,243000,231500,,,,,,,
237500,2927358,690354,20240620,233500,238500,231000,,,,,,,
234000,3848394,893734,20240621,230500,234500,230000,,,,,,,
223000,5080726,1136221,20240624,228000,230000,220000,,,,,,,
225000,5730999,1265956,20240625,215500,225000,215000,,,,,,,
237000,5166862,1207856,20240626,228000,238500,227500,,,,,,,
236500,3763005,878990,20240627,229500,239000,227500,4,0.00,,,,,
236500,2368287,557342,20240628,235500,237500,232500,,,,,,,
235500,1709955,400887,20240701,233500,236500,232000,,,,,,,
232000,2343947,547269,20240702,235500,237000,230500,,,,,,,
236000,3315677,765078,20240703,231000,236000,225000,,,,,,,
230000,7599882,1754420,20240704,240500,240500,225000,,,,,,,
236000,4041293,942907,20240705,228500,237500,227500,,,,,,,
233500,2309023,540445,20240708,234000,237000,232500,,,,,,,
238500,4810781,1143175,20240709,235500,241000,233000,,,,,,,
239000,2579373,611202,20240710,237500,239000,234000,,,,,,,
241000,5336097,1303368,20240711,242500,248500,241000,,,,,,,
233000,4972976,1157878,20240712,232000,236000,230000,,,,,,,
230000,3301380,763989,20240715,235000,235500,226500,,,,,,,
233000,3982189,918962,20240716,226500,235000,224000,,,,,,,
220500,6051510,1354822,20240717,229500,230000,220500,,,,,,,
212500,8847665,1873308,20240718,212500,215000,209000,,,,,,,
209500,4519170,949039,20240719,208500,214000,207000,,,,,,,
205000,6662441,1363039,20240722,209000,209500,200500,,,,,,,
205000,5976519,1224620,20240723,208500,209500,200500,,,,,,,
208500,4838734,1003814,20240724,202000,212500,200000,,,,,,,
190000,12503762,2411731,20240725,196200,198800,189000,,,,,,,
191800,8769107,1670363,20240726,190800,194500,186100,,,,,,,
195600,4017366,781013,20240729,195000,195700,192200,,,,,,,
188900,5165131,973145,20240730,191300,192200,186500,,,,,,,
194600,6439929,1228259,20240731,188000,195000,185200,,,,,,,
193300,6457167,1274255,20240801,201500,201500,193300,,,,,,,
173200,13050139,2305549,20240802,183600,184000,172400,,,,,,,
156100,12358821,1991369,20240805,168000,171200,151600,,,,,,,
163700,10717321,1760799,20240806,165100,166400,161500,,,,,,,
169300,9732037,1606880,20240807,160900,171000,157400,,,,,,,
163400,5370361,880066,20240808,162600,168200,161200,,,,,,,
171500,5141277,878158,20240809,172800,172800,168800,,,,,,,
177000,4413736,782042,20240812,174500,179800,172600,,,,,,,
181900,4234287,764401,20240813,179900,182400,178800,,,,,,,
186700,4420516,825170,20240814,188000,188100,184700,,,,,,,
199700,6959688,1376475,20240816,196000,200000,194700,,,,,,,
193900,3977026,777397,20240819,199900,199900,192400,,,,,,,
199700,4258190,853193,20240820,198700,202500,198100,,,,,,,
192600,4508983,869119,20240821,193000,195400,191100,,,,,,,
191100,3166217,605771,20240822,192000,194400,189000,,,,,,,
185500,4371332,816525,20240823,186000,189300,185400,,,,,,,
179600,4913204,895836,20240826,187800,188500,179600,,,,,,,
175000,5796566,1019902,20240827,176800,180200,173400,,,,,,,
179300,5590086,990246,20240828,175000,180800,174000,,,,,,,
169700,8284585,1401104,20240829,167600,171700,167200,,,,,,,
173700,4498221,777225,20240830,171000,175500,169400,,,,,,,
174000,3507670,603453,20240902,173600,174900,168400,,,,,,,
168300,3286574,561624,20240903,172900,173800,168300,,,,,,,
154800,10020391,1562780,20240904,152900,159000,152900,,,,,,,
159400,5349484,852321,20240905,157000,163000,156600,,,,,,,
156400,3459914,540879,20240906,157100,158200,154900,,,,,,,
157000,4484162,690588,20240909,151800,157700,150500,,,,,,,
155500,4718523,743554,20240910,157400,161700,154300,,,,,,,
157200,3203928,502163,20240911,156800,158700,154300,,,,,,,
168800,8628996,1448495,20240912,165200,171300,163800,,,,,,,
162800,5246578,858303,20240913,166500,166700,161100,,,,,,,
152800,15001257,2252833,20240919,154700,155700,144700,,,,,,,
157100,7155655,1131269,20240920,160500,160800,155900,,,,,,,
162000,4497592,722273,20240923,155800,162900,155700,,,,,,,
163500,3442530,556961,20240924,163700,163700,159200,,,,,,,
165300,4665075,780853,20240925,166700,169300,165000,,,,,,,
180900,9519633,1705713,20240926,178400,180900,176200,,,,,,,
183800,6886272,1282740,20240927,187500,189300,183800,4,0.00,,,,,
174600,4859468,866893,20240930,183700,183800,174600,,,,,,,
169100,4720638,810120,20241002,172700,175500,169100,,,,,,,
174100,3633358,631393,20241004,171700,175600,170700,,,,,,,
184900,3904925,705726,20241007,178400,184900,176000,,,,,,,
178000,3988028,720348,20241008,182200,185000,178000,,,,,,,
186700,6325045,1175975,20241010,184500,188100,183400,,,,,,,
186000,3475666,651218,20241011,190000,191200,185100,,,,,,,
187500,3309274,625998,20241014,186900,192300,186900,,,,,,,
192900,4060365,779386,20241015,191900,193200,189700,,,,,,,
188700,4787317,898265,20241016,184700,192500,183600,,,,,,,
196000,3996946,766063,20241017,191200,196000,188700,,,,,,,
187300,5509895,1047211,20241018,198200,198200,186200,,,,,,,
190900,2428544,463396,20241021,189400,192300,188000,,,,,,,
187800,3466963,662402,20241022,195300,195300,187500,,,,,,,
196000,4366079,845812,20241023,188500,196700,188000,,,,,,,
198200,6344515,1253031,20241024,193500,202000,190000,,,,,,,
201000,5530362,1120583,20241025,203000,206000,199400,,,,,,,
196000,4114186,816480,20241028,203500,205000,194200,,,,,,,
190300,4067991,777433,20241029,196000,197000,189100,,,,,,,
195000,3580400,692876,20241030,190200,195400,189400,,,,,,,
186300,4573282,860701,20241031,189900,192900,186100,,,,,,,
182200,3478519,635191,20241101,182500,184900,180500,,,,,,,
194000,3569575,678441,20241104,185200,194000,183700,,,,,,,
193200,3560310,694370,20241105,193600,198800,192100,,,,,,,
