cur_prc,trde_qty,trde_prica,dt,open_pric,high_pric,low_pric,upd_stkpc_tp,upd_rt,bic_inds_tp,sm_inds_tp,stk_infr,upd_stkpc_event,pred_close_pric
71200,26286495,1881297,20230904,72900,72900,70700,,,,,,,
70700,12330239,871402,20230905,70900,71500,70200,,,,,,,
70000,11414620,799882,20230906,70700,70800,69700,,,,,,,
70400,13741241,964327,20230907,70000,70600,69600,,,,,,,
70300,10688118,747653,20230908,70200,70300,69600,,,,,,,
70800,11785462,830035,20230911,70400,70800,70000,,,,,,,
70500,11688599,825296,20230912,70800,71000,70400,,,,,,,
70900,15955797,1131860,20230913,71100,71600,70300,,,,,,,
71700,21041407,1504489,20230914,71200,71800,70800,,,,,,,
72000,17823512,1283667,20230915,71700,72300,71400,,,,,,,
70200,16040727,1134189,20230918,71300,71700,70200,,,,,,,
69800,11820188,828073,20230919,70400,70800,69600,,,,,,,
69600,10873015,758467,20230920,70000,70300,69500,,,,,,,
68900,10796336,746680,20230921,69200,69800,68800,,,,,,,
68800,9897840,678768,20230922,68300,68900,68300,,,,,,,
69400,13582516,940526,20230925,68500,69700,68500,,,,,,,
68600,13143470,904380,20230926,70000,70000,68400,4,0.00,,,,,
68400,14886491,1019873,20230927,68600,69100,68200,,,,,,,
67500,23361149,1569870,20231004,67400,67700,66700,,,,,,,
66700,16108313,1078383,20231005,67300,67400,66700,,,,,,,
66000,14386527,955787,20231006,67100,67300,66000,,,,,,,
66400,19889202,1331414,20231010,66200,67600,66200,,,,,,,
68200,25209349,1728594,20231011,68600,69400,67900,,,,,,,
68900,19311380,1330251,20231012,68600,69700,68200,,,,,,,
68000,9724086,661424,20231013,68000,68500,67700,,,,,,,
67300,12599299,848737,20231016,67900,68500,66800,,,,,,,
69400,17299253,1188353,20231017,67700,69900,67400,,,,,,,
70500,16493184,1153209,20231018,68900,70500,68800,,,,,,,
69500,13985012,973452,20231019,69700,70000,69400,,,,,,,
68800,15204495,1045222,20231020,68900,69200,68100,,,,,,,
68400,11625959,796396,20231023,68700,69100,68200,,,,,,,
68500,12791710,874148,20231024,68700,68800,67700,,,,,,,
68000,10610703,724468,20231025,68800,68800,67900,,,,,,,
66700,15517624,1040151,20231026,67000,67900,66700,,,,,,,
67300,11334726,759193,20231027,67100,67300,66700,,,,,,,
67300,10139270,681863,20231030,66800,67800,66700,,,,,,,
66900,14488892,975300,20231031,67600,68300,66900,,,,,,,
68600,13775256,939331,20231101,67500,68900,67300,,,,,,,
69700,16350031,1140762,20231102,70000,70000,69400,,,,,,,
69600,10322234,720443,20231103,69700,70200,69500,,,,,,,
70900,22228489,1555020,20231106,69800,70900,69300,,,,,,,
70900,17228731,1213169,20231107,70600,70900,70000,,,,,,,
69900,12901310,908216,20231108,71300,71400,69700,,,,,,,
70300,12301373,865006,20231109,69900,70800,69600,,,,,,,
70500,9684347,677562,20231110,70000,70500,69500,,,,,,,
70400,9246919,653603,20231113,71300,71300,70300,,,,,,,
70800,9567984,678177,20231114,71000,71100,70600,,,,,,,
72200,20148677,1449276,20231115,71600,72200,71500,,,,,,,
72800,15860451,1151617,20231116,72500,73000,72300,,,,,,,
72500,11494644,834899,20231117,72300,73000,72300,,,,,,,
72700,10610157,771288,20231120,72100,73000,72100,,,,,,,
72800,9712881,709805,20231121,73100,73400,72700,,,,,,,
72800,11105143,803720,20231122,72200,73000,71900,,,,,,,
72400,6775614,491572,20231123,73000,73200,72200,,,,,,,
71700,6676685,481177,20231124,72400,72600,71700,,,,,,,
71300,9113857,651550,20231127,71500,72100,71100,,,,,,,
72700,13283081,958104,20231128,71400,72700,71300,,,,,,,
72700,9283933,673194,20231129,72400,72800,72200,,,,,,,
72800,15783714,1146427,20231130,72700,72800,72200,,,,,,,
72000,9871284,710940,20231201,72400,72500,71700,,,,,,,
72600,10229267,743360,20231204,72800,72900,72400,,,,,,,
71200,12129682,867872,20231205,72300,72400,71200,,,,,,,
71700,8123087,583710,20231206,71800,72100,71600,,,,,,,
71500,8862017,633466,20231207,71800,71900,71100,,,,,,,
72600,10859463,787230,20231208,72100,72800,71900,,,,,,,
73000,9861960,716958,20231211,72800,73000,72200,,,,,,,
73500,13758646,1009135,20231212,73300,73500,73100,,,,,,,
72800,13116766,959556,20231213,73300,73500,72800,,,,,,,
73100,27567593,2025360,20231214,74100,74300,72500,,,,,,,
73300,15419815,1134484,20231215,73800,74000,73200,,,,,,,
72900,9690551,708307,20231218,73300,73400,72800,,,,,,,
73400,8907632,650825,20231219,73000,73400,72800,,,,,,,
74800,16870156,1253492,20231220,74200,74900,73800,,,,,,,
75000,13478766,1006936,20231221,74600,75000,74300,,,,,,,
75900,14515608,1100293,20231222,75800,76300,75400,,,,,,,
76600,13164909,1005443,20231226,76100,76700,75700,,,,,,,
78000,20651042,1600118,20231227,76700,78000,76500,4,0.00,,,,,
78500,17797536,1388291,20231228,77700,78500,77500,,,,,,,
79600,17142847,1356958,20240102,78200,79800,78200,,,,,,,
77000,21753644,1691691,20240103,78500,78800,77000,,,,,,,
76600,15324439,1173913,20240104,76100,77300,76100,,,,,,,
76600,11304316,866836,20240105,76700,77100,76400,,,,,,,
76500,11088724,852681,20240108,77000,77500,76400,,,,,,,
74700,26019249,1971737,20240109,77400,77700,74300,,,,,,,
73600,20259529,1497565,20240110,75000,75200,73200,,,,,,,
73200,57691266,4206813,20240111,72900,73600,72700,,,,,,,
73100,13038939,956812,20240112,73000,74100,72800,,,,,,,
73900,13212339,973180,20240115,73200,74000,73200,,,,,,,
72600,14760415,1075977,20240116,73500,73700,72500,,,,,,,
71000,22683660,1627051,20240117,73100,73300,71000,,,,,,,
71700,17853397,1274268,20240118,71600,72000,70700,,,,,,,
74700,23363427,1729033,20240119,73500,74700,73000,,,,,,,
75100,19673375,1484936,20240122,75900,76000,75000,,,,,,,
75200,14786224,1109207,20240123,75700,75800,74300,,,,,,,
74000,12860661,950730,20240124,75200,75200,73500,,,,,,,
74100,11737747,870262,20240125,74200,74800,73700,,,,,,,
73400,11160062,824499,20240126,73700,74500,73300,,,,,,,
74400,13976521,1040949,20240129,73800,75200,73500,,,,,,,
74300,12244418,910103,20240130,75000,75300,73700,,,,,,,
72700,15703560,1148592,20240131,73400,74000,72500,,,,,,,
73600,19881033,1460989,20240201,73000,74200,72900,,,,,,,
75200,14955881,1116696,20240202,74000,75200,73700,,,,,,,
74300,19026021,1407992,20240205,74200,74800,73500,,,,,,,
74400,14559254,1079407,20240206,74300,74700,73300,,,,,,,
75000,16566445,1241375,20240207,74600,75500,74300,,,,,,,
74100,20810708,1545422,20240208,75000,75200,73600,,,,,,,
75200,21966745,1645919,20240213,74800,75200,74400,,,,,,,
74000,12434945,920047,20240214,73700,74300,73700,,,,,,,
73000,14120600,1037049,20240215,74200,74400,73000,,,,,,,
72800,13444781,979246,20240216,73300,73400,72500,,,,,,,
73800,12726404,936829,20240219,72800,73900,72800,,,,,,,
73300,14681477,1074234,20240220,73700,73700,72800,,,,,,,
73000,11503495,841683,20240221,73400,73700,72900,,,,,,,
73100,15208934,1111908,20240222,73800,73900,72700,,,,,,,
72900,16225166,1189839,20240223,73600,74200,72900,,,,,,,
72800,14669352,1067726,20240226,72300,73200,72200,,,,,,,
72900,13201981,963297,20240227,73100,73400,72700,,,,,,,
73200,11795859,866533,20240228,72900,73900,72800,,,,,,,
73400,21176403,1543929,20240229,72600,73400,72000,,,,,,,
74900,23210474,1730190,20240304,74300,75000,74000,,,,,,,
73700,19505125,1446710,20240305,74600,74800,73700,,,,,,,
72900,21547905,1577128,20240306,73200,73500,72700,,,,,,,
72200,14516963,1054960,20240307,73100,73300,72200,,,,,,,
73300,19271349,1406734,20240308,72800,73400,72600,,,,,,,
72400,9740504,707796,20240311,72900,73100,72300,,,,,,,
73300,13011654,946371,20240312,72600,73500,72100,,,,,,,
74100,15243134,1126213,20240313,73700,74100,73500,,,,,,,
74300,22545539,1672984,20240314,74400,74500,73600,,,,,,,
72300,22580555,1646273,20240315,73400,73700,72300,,,,,,,
72800,11520348,837896,20240318,72600,73000,72500,,,,,,,
72800,15376066,1109067,20240319,72300,73000,71700,,,,,,,
76900,50106297,3799219,20240320,73700,77200,73400,,,,,,,
79300,44569799,3509988,20240321,79200,79300,77700,,,,,,,
78900,26724761,2104544,20240322,79600,79900,77800,,,,,,,
78200,18703996,1472207,20240325,79600,79800,77800,,,,,,,
79900,30551494,2435793,20240326,79700,80100,79200,,,,,,,
79800,17424595,1387268,20240327,79200,80000,79200,,,,,,,
80800,25084812,2014952,20240328,79400,81000,79200,,,,,,,
82400,27126366,2224901,20240329,81200,82500,80900,,,,,,,
82000,20116513,1661276,20240401,83200,83300,82000,,,,,,,
85000,37077944,3125937,20240402,82900,85000,82900,,,,,,,
84100,30493347,2570592,20240403,84300,85000,83500,,,,,,,
85300,25248934,2147310,20240404,85200,85500,84300,,,,,,,
84500,18883752,1593633,20240405,84500,85000,83800,,,,,,,
84500,18953232,1614572,20240408,85200,86000,84500,,,,,,,
83600,23725956,1991487,20240409,84500,84900,83100,,,,,,,
84100,25538009,2138954,20240411,83200,84700,82500,,,,,,,
83700,17061770,1429687,20240412,84700,84900,83200,,,,,,,
82200,26663772,2187767,20240415,82900,83200,81200,,,,,,,
80000,31949845,2564077,20240416,81200,81300,79400,,,,,,,
78900,22611631,1800986,20240417,80700,80800,78900,,,,,,,
79600,21370190,1694197,20240418,78800,80100,78300,,,,,,,
77600,31317563,2423649,20240419,78300,78700,76300,,,,,,,
